발생일시,월별,시간대별,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2024-12-25 16:05,12,16,포항,영해-EEZ,36 | 12 | 31,129 | 40 | 56,양호,운항부주의,부유물감김,1,3,3,0,0,0,어선,4.93
2024-12-25 15:59,12,15,목포,영해,34 | 22 | 25,126 | 7 | 21,양호,정비불량,기관손상,1,4,4,0,0,0,예부선,47
2024-12-25 15:32,12,15,여수,항계 내,34 | 43 | 1,127 | 42 | 59,양호,정비불량,추진기손상,1,3,3,0,0,0,모터보트,1.07
2024-12-25 13:55,12,13,부안,영해,35 | 37 | 17,126 | 17 | 26,양호,운항부주의,좌초/좌주,1,3,3,0,0,0,어선,5.33
2024-12-25 13:16,12,13,포항,영해-EEZ,35 | 58 | 60,130 | 40 | 60,황천5급,운항부주의,침수,1,6,6,0,0,0,어선,9.77
2024-12-25 13:09,12,13,군산,항계 내,35 | 49 | 5,126 | 27 | 2,양호,화기취급부주의,화재,1,0,0,0,0,0,어선,5
2024-12-25 13:09,12,13,군산,항계 내,35 | 49 | 5,126 | 27 | 2,양호,화기취급부주의,화재,1,2,2,2,0,0,어선,1.86
2024-12-25 13:09,12,13,군산,항계 내,35 | 49 | 5,126 | 27 | 2,양호,화기취급부주의,화재,1,0,0,0,0,0,어선,8.55
2024-12-25 11:50,12,11,완도,항계 내,33 | 57 | 11,126 | 55 | 17,양호,정비불량,기관손상,1,4,4,0,0,0,모터보트,2
2024-12-25 11:44,12,11,인천,영해,37 | 24 | 12,126 | 3 | 25,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,4.95
2024-12-25 11:29,12,11,목포,영해,34 | 43 | 17,126 | 15 | 46,양호,정비불량,기관손상,1,7,7,0,0,0,어선,9.77
2024-12-25 09:39,12,9,통영,영해,34 | 33 | 19,128 | 43 | 36,양호,정비불량,기관손상,1,5,5,0,0,0,낚시어선,7.93
2024-12-25 09:31,12,9,목포,영해,34 | 42 | 5,125 | 41 | 57,양호,운항부주의,부유물감김,1,68,68,0,0,0,여객선,223
2024-12-25 08:14,12,8,인천,항계 내,37 | 29 | 8,126 | 36 | 48,양호,화기취급부주의,화재,1,0,0,0,0,0,어선,100
2024-12-25 07:49,12,7,제주,영해,33 | 58 | 54,126 | 19 | 23,양호,정비불량,기관손상,1,11,11,0,0,0,낚시어선,4.8
2024-12-25 06:55,12,6,창원,영해,35 | 5 | 48,128 | 40 | 39,양호,운항부주의,좌초/좌주,1,3,3,0,0,0,낚시어선,3.26
2024-12-25 01:15,12,1,동해,영해-EEZ,37 | 40 | 0,132 | 46 | 0,풍랑주의보,정비불량,기관손상,1,8,8,0,0,0,어선,72
2024-12-24 17:37,12,17,태안,영해,36 | 40 | 30,126 | 7 | 53,양호,안전부주의,작업 중 인명사상,1,8,8,1,0,0,어선,29
2024-12-24 14:00,12,14,제주,영해,33 | 34 | 0,126 | 16 | 60,양호,정비불량,키손상,1,4,4,0,0,0,어선,9.77
2024-12-24 12:38,12,12,사천,항계 내,34 | 57 | 29,127 | 54 | 25,양호,관리소홀,표류,1,1,1,0,0,0,어선,1.07
2024-12-24 09:30,12,9,여수,영해,34 | 12 | 32,127 | 14 | 22,양호,운항부주의,부유물감김,1,2,2,0,0,0,어선,4.05
2024-12-24 08:18,12,8,포항,영해,36 | 9 | 35,129 | 30 | 43,황천6급,운항부주의,기관손상,1,2,2,0,0,0,어선,5.77
2024-12-23 17:39,12,17,목포,영해,34 | 46 | 25,126 | 23 | 37,양호,운항부주의,부유물감김,1,5,5,0,0,0,예부선,212
2024-12-23 11:23,12,11,통영,영해,34 | 34 | 39,128 | 33 | 15,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,4.99
2024-12-23 06:29,12,6,동해,영해,37 | 32 | 47,129 | 6 | 55,양호,정비불량,기관손상,1,39,39,0,0,0,어선,39
2024-12-23 05:38,12,5,제주,영해-EEZ,33 | 23 | 53,125 | 59 | 26,양호,정비불량,침수,1,7,7,0,0,0,어선,46
2024-12-23 02:33,12,2,인천,영해,37 | 16 | 29,125 | 59 | 56,양호,정비불량,기관손상,1,5,5,0,0,0,예부선,311
2024-12-23 00:43,12,0,창원,영해,34 | 51 | 54,128 | 52 | 43,양호,정비불량,화재,1,6,6,0,0,0,어선,198
2024-12-22 21:41,12,21,통영,영해,34 | 47 | 26,128 | 26 | 44,양호,정비불량,운항저해,1,2,2,0,0,0,어선,1.99
2024-12-22 18:16,12,18,서귀포,영해,33 | 14 | 22,126 | 31 | 33,양호,운항부주의,좌초/좌주,1,2,2,0,0,0,모터보트,0.77
2024-12-22 12:26,12,12,제주,항계 내,33 | 33 | 0,126 | 42 | 0,양호,정비불량,침수,1,0,0,0,0,0,모터보트,2.45
2024-12-22 12:22,12,12,서귀포,영해-EEZ,32 | 46 | 0,126 | 43 | 0,풍랑주의보,정비불량,추진기손상,1,11,11,0,0,0,어선,48
2024-12-22 08:51,12,8,여수,영해,34 | 43 | 9,127 | 33 | 19,양호,관리소홀,표류,1,0,0,0,0,0,어선,1.99
2024-12-22 08:51,12,8,여수,영해,34 | 43 | 9,127 | 33 | 19,양호,관리소홀,표류,1,0,0,0,0,0,어선,1.65
2024-12-22 01:32,12,1,부산,항계 내,35 | 3 | 7,129 | 2 | 45,양호,안전부주의,표류,1,33,33,0,0,0,어선,4416
2024-12-21 12:16,12,12,속초,영해,38 | 8 | 35,128 | 40 | 0,양호,정비불량,기관손상,1,1,1,0,0,0,어선,6.67
2024-12-21 06:42,12,6,여수,영해,34 | 33 | 39,127 | 44 | 57,양호,운항부주의,부유물감김,1,1,1,0,0,0,어선,9.77
2024-12-21 04:32,12,4,사천,영해,34 | 49 | 44,128 | 6 | 19,양호,운항부주의,충돌,1,1,1,1,0,0,어선,4.34
2024-12-21 00:15,12,0,목포,영해,35 | 3 | 38,126 | 10 | 10,양호,정비불량,기관손상,1,5,5,0,0,0,어선,9.77
2024-12-20 21:54,12,21,울진,항계 내,36 | 21 | 29,129 | 22 | 58,양호,운항부주의,부유물감김,1,2,2,0,0,0,모터보트,1.24
2024-12-20 18:52,12,18,인천,영해,37 | 11 | 35,126 | 9 | 45,풍랑주의보,안전부주의,작업 중 인명사상,1,2,1,0,1,0,예부선,248
2024-12-20 18:31,12,18,부산,영해,35 | 6 | 41,129 | 26 | 35,양호,운항부주의,충돌,1,7,7,0,0,0,어선,85
2024-12-20 18:31,12,18,부산,영해,35 | 6 | 41,129 | 26 | 35,양호,운항부주의,충돌,1,3,3,0,0,0,어선,9.77
2024-12-20 17:38,12,17,울진,영해,37 | 0 | 54,129 | 31 | 27,양호,정비불량,기관손상,1,5,5,0,0,0,어선,4.94
2024-12-20 17:35,12,17,서귀포,영해,33 | 13 | 0,126 | 39 | 0,양호,운항부주의,운항저해,1,2,2,0,0,0,어선,4.99
2024-12-20 17:19,12,17,창원,영해,34 | 57 | 56,128 | 30 | 28,양호,운항부주의,좌초/좌주,1,6,6,0,0,0,어선,4.99
2024-12-20 14:33,12,14,태안,영해,36 | 34 | 58,126 | 11 | 16,양호,운항부주의,부유물감김,1,3,3,0,0,0,어선,5.56
2024-12-20 13:35,12,13,여수,영해,34 | 20 | 57,127 | 24 | 33,양호,정비불량,기관손상,1,2,2,0,0,0,어선,7.93
2024-12-20 12:01,12,12,창원,영해,35 | 1 | 18,128 | 45 | 47,양호,연료고갈,운항저해,1,1,1,0,0,0,어선,1.8
2024-12-20 10:12,12,10,속초,영해,38 | 31 | 18,128 | 25 | 38,양호,운항부주의,충돌,1,1,1,0,0,0,어선,1.61
2024-12-20 10:12,12,10,속초,영해,38 | 31 | 18,128 | 25 | 38,양호,운항부주의,충돌,1,1,1,0,0,0,어선,1.83
2024-12-20 10:04,12,10,울진,영해,37 | 7 | 2,129 | 27 | 40,양호,정비불량,기관손상,1,4,4,0,0,0,예부선,147
2024-12-20 09:36,12,9,보령,항계 내,36 | 19 | 45,126 | 30 | 56,양호,관리소홀,전복,1,0,0,0,0,0,모터보트,2.07
2024-12-20 05:26,12,5,통영,영해,34 | 31 | 50,128 | 37 | 6,양호,정비불량,기관손상,1,12,12,0,0,0,낚시어선,9.77
2024-12-20 04:24,12,4,완도,항계 내,34 | 14 | 41,126 | 41 | 53,양호,정비불량,기관손상,1,2,2,0,0,0,어선,3
